Party,Loss,Accuracy,Precision
0, 0.7417822230339051, 0.7506, 0.87
1, 0.47616397290229795, 0.8554, 0.91
0, 0.7170412855148316, 0.7614, 0.89
1, 0.4786551806926727, 0.8562, 0.91
0, 0.6007032028198243, 0.808, 0.89
1, 0.5686904020547867, 0.8222, 0.91
0, 0.5673084392547607, 0.811, 0.89
1, 0.7284952424526214, 0.7406, 0.9
0, 0.45192824993133546, 0.861, 0.9
1, 0.5353329216957092, 0.831, 0.9
0, 0.3937032302856445, 0.8788, 0.91
1, 0.5070175735592842, 0.8496, 0.89
0, 0.4066059546470642, 0.8694, 0.9
1, 0.44907527842521666, 0.8716, 0.91
0, 0.5583406860351563, 0.8304, 0.88
1, 0.5733833328723907, 0.8336, 0.89
0, 0.47961827182769773, 0.8534, 0.9
1, 0.4502879273623228, 0.868, 0.9
0, 0.46962645082473753, 0.8496, 0.89
1, 0.47612079916000366, 0.8458, 0.89
0, 0.33432817935943604, 0.9026, 0.92
1, 0.43860594033002853, 0.8656, 0.9
